drug_a (generic),drug_b (generic),severity,mechanism,clinical_action,source_note,source_url
enalapril,triamterene,major,"Reduced aldosterone activity, potassium retention, renal prostaglandin inhibition, or trimethoprim-like potassium sparing can precipitate hyperkalemia or acute kidney injury.",Avoid high-risk combinations in CKD or elderly patients; check creatinine and potassium within days if co-prescribing is necessary.,BNF Interactions A-Z: RAS inhibitor interactions; Beers 2023 Table 5 RAS inhibitor/potassium-sparing diuretic hyperkalemia warning.,https://bnf.nice.org.uk/interactions/enalapril/
enalapril,potassium chloride,major,"Reduced aldosterone activity, potassium retention, renal prostaglandin inhibition, or trimethoprim-like potassium sparing can precipitate hyperkalemia or acute kidney injury.",Avoid high-risk combinations in CKD or elderly patients; check creatinine and potassium within days if co-prescribing is necessary.,BNF Interactions A-Z: ACEI/ARB interactions; Beers 2023 Table 4 TMP-SMX hyperkalemia caution with ACEI/ARB in renal impairment.,https://bnf.nice.org.uk/interactions/enalapril/
enalapril,trimethoprim-sulfamethoxazole,major,"Reduced aldosterone activity, potassium retention, renal prostaglandin inhibition, or trimethoprim-like potassium sparing can precipitate hyperkalemia or acute kidney injury.",Avoid high-risk combinations in CKD or elderly patients; check creatinine and potassium within days if co-prescribing is necessary.,BNF Interactions A-Z: ACEI/ARB interactions; Beers 2023 Table 4 TMP-SMX hyperkalemia caution with ACEI/ARB in renal impairment.,https://bnf.nice.org.uk/interactions/enalapril/
enalapril,ibuprofen,moderate,"Reduced aldosterone activity, potassium retention, renal prostaglandin inhibition, or trimethoprim-like potassium sparing can precipitate hyperkalemia or acute kidney injury.",Avoid high-risk combinations in CKD or elderly patients; check creatinine and potassium within days if co-prescribing is necessary.,BNF Interactions A-Z: ACEI/ARB interactions; Beers 2023 Table 4 TMP-SMX hyperkalemia caution with ACEI/ARB in renal impairment.,https://bnf.nice.org.uk/interactions/enalapril/
enalapril,diclofenac,moderate,"Reduced aldosterone activity, potassium retention, renal prostaglandin inhibition, or trimethoprim-like potassium sparing can precipitate hyperkalemia or acute kidney injury.",Avoid high-risk combinations in CKD or elderly patients; check creatinine and potassium within days if co-prescribing is necessary.,BNF Interactions A-Z: ACEI/ARB interactions; Beers 2023 Table 4 TMP-SMX hyperkalemia caution with ACEI/ARB in renal impairment.,https://bnf.nice.org.uk/interactions/enalapril/
enalapril,naproxen,moderate,"Reduced aldosterone activity, potassium retention, renal prostaglandin inhibition, or trimethoprim-like potassium sparing can precipitate hyperkalemia or acute kidney injury.",Avoid high-risk combinations in CKD or elderly patients; check creatinine and potassium within days if co-prescribing is necessary.,BNF Interactions A-Z: ACEI/ARB interactions; Beers 2023 Table 4 TMP-SMX hyperkalemia caution with ACEI/ARB in renal impairment.,https://bnf.nice.org.uk/interactions/enalapril/
ramipril,spironolactone,major,"Reduced aldosterone activity, potassium retention, renal prostaglandin inhibition, or trimethoprim-like potassium sparing can precipitate hyperkalemia or acute kidney injury.",Avoid high-risk combinations in CKD or elderly patients; check creatinine and potassium within days if co-prescribing is necessary.,BNF Interactions A-Z: RAS inhibitor interactions; Beers 2023 Table 5 RAS inhibitor/potassium-sparing diuretic hyperkalemia warning.,https://bnf.nice.org.uk/interactions/ramipril/
ramipril,amiloride,major,"Reduced aldosterone activity, potassium retention, renal prostaglandin inhibition, or trimethoprim-like potassium sparing can precipitate hyperkalemia or acute kidney injury.",Avoid high-risk combinations in CKD or elderly patients; check creatinine and potassium within days if co-prescribing is necessary.,BNF Interactions A-Z: RAS inhibitor interactions; Beers 2023 Table 5 RAS inhibitor/potassium-sparing diuretic hyperkalemia warning.,https://bnf.nice.org.uk/interactions/ramipril/
ramipril,triamterene,major,"Reduced aldosterone activity, potassium retention, renal prostaglandin inhibition, or trimethoprim-like potassium sparing can precipitate hyperkalemia or acute kidney injury.",Avoid high-risk combinations in CKD or elderly patients; check creatinine and potassium within days if co-prescribing is necessary.,BNF Interactions A-Z: RAS inhibitor interactions; Beers 2023 Table 5 RAS inhibitor/potassium-sparing diuretic hyperkalemia warning.,https://bnf.nice.org.uk/interactions/ramipril/
ramipril,potassium chloride,major,"Reduced aldosterone activity, potassium retention, renal prostaglandin inhibition, or trimethoprim-like potassium sparing can precipitate hyperkalemia or acute kidney injury.",Avoid high-risk combinations in CKD or elderly patients; check creatinine and potassium within days if co-prescribing is necessary.,BNF Interactions A-Z: ACEI/ARB interactions; Beers 2023 Table 4 TMP-SMX hyperkalemia caution with ACEI/ARB in renal impairment.,https://bnf.nice.org.uk/interactions/ramipril/
ramipril,trimethoprim-sulfamethoxazole,major,"Reduced aldosterone activity, potassium retention, renal prostaglandin inhibition, or trimethoprim-like potassium sparing can precipitate hyperkalemia or acute kidney injury.",Avoid high-risk combinations in CKD or elderly patients; check creatinine and potassium within days if co-prescribing is necessary.,BNF Interactions A-Z: ACEI/ARB interactions; Beers 2023 Table 4 TMP-SMX hyperkalemia caution with ACEI/ARB in renal impairment.,https://bnf.nice.org.uk/interactions/ramipril/
ramipril,ibuprofen,moderate,"Reduced aldosterone activity, potassium retention, renal prostaglandin inhibition, or trimethoprim-like potassium sparing can precipitate hyperkalemia or acute kidney injury.",Avoid high-risk combinations in CKD or elderly patients; check creatinine and potassium within days if co-prescribing is necessary.,BNF Interactions A-Z: ACEI/ARB interactions; Beers 2023 Table 4 TMP-SMX hyperkalemia caution with ACEI/ARB in renal impairment.,https://bnf.nice.org.uk/interactions/ramipril/
ramipril,diclofenac,moderate,"Reduced aldosterone activity, potassium retention, renal prostaglandin inhibition, or trimethoprim-like potassium sparing can precipitate hyperkalemia or acute kidney injury.",Avoid high-risk combinations in CKD or elderly patients; check creatinine and potassium within days if co-prescribing is necessary.,BNF Interactions A-Z: ACEI/ARB interactions; Beers 2023 Table 4 TMP-SMX hyperkalemia caution with ACEI/ARB in renal impairment.,https://bnf.nice.org.uk/interactions/ramipril/
ramipril,naproxen,moderate,"Reduced aldosterone activity, potassium retention, renal prostaglandin inhibition, or trimethoprim-like potassium sparing can precipitate hyperkalemia or acute kidney injury.",Avoid high-risk combinations in CKD or elderly patients; check creatinine and potassium within days if co-prescribing is necessary.,BNF Interactions A-Z: ACEI/ARB interactions; Beers 2023 Table 4 TMP-SMX hyperkalemia caution with ACEI/ARB in renal impairment.,https://bnf.nice.org.uk/interactions/ramipril/
losartan,spironolactone,major,"Reduced aldosterone activity, potassium retention, renal prostaglandin inhibition, or trimethoprim-like potassium sparing can precipitate hyperkalemia or acute kidney injury.",Avoid high-risk combinations in CKD or elderly patients; check creatinine and potassium within days if co-prescribing is necessary.,BNF Interactions A-Z: RAS inhibitor interactions; Beers 2023 Table 5 RAS inhibitor/potassium-sparing diuretic hyperkalemia warning.,https://bnf.nice.org.uk/interactions/losartan/
losartan,amiloride,major,"Reduced aldosterone activity, potassium retention, renal prostaglandin inhibition, or trimethoprim-like potassium sparing can precipitate hyperkalemia or acute kidney injury.",Avoid high-risk combinations in CKD or elderly patients; check creatinine and potassium within days if co-prescribing is necessary.,BNF Interactions A-Z: RAS inhibitor interactions; Beers 2023 Table 5 RAS inhibitor/potassium-sparing diuretic hyperkalemia warning.,https://bnf.nice.org.uk/interactions/losartan/
losartan,triamterene,major,"Reduced aldosterone activity, potassium retention, renal prostaglandin inhibition, or trimethoprim-like potassium sparing can precipitate hyperkalemia or acute kidney injury.",Avoid high-risk combinations in CKD or elderly patients; check creatinine and potassium within days if co-prescribing is necessary.,BNF Interactions A-Z: RAS inhibitor interactions; Beers 2023 Table 5 RAS inhibitor/potassium-sparing diuretic hyperkalemia warning.,https://bnf.nice.org.uk/interactions/losartan/
losartan,potassium chloride,major,"Reduced aldosterone activity, potassium retention, renal prostaglandin inhibition, or trimethoprim-like potassium sparing can precipitate hyperkalemia or acute kidney injury.",Avoid high-risk combinations in CKD or elderly patients; check creatinine and potassium within days if co-prescribing is necessary.,BNF Interactions A-Z: ACEI/ARB interactions; Beers 2023 Table 4 TMP-SMX hyperkalemia caution with ACEI/ARB in renal impairment.,https://bnf.nice.org.uk/interactions/losartan/
losartan,trimethoprim-sulfamethoxazole,major,"Reduced aldosterone activity, potassium retention, renal prostaglandin inhibition, or trimethoprim-like potassium sparing can precipitate hyperkalemia or acute kidney injury.",Avoid high-risk combinations in CKD or elderly patients; check creatinine and potassium within days if co-prescribing is necessary.,BNF Interactions A-Z: ACEI/ARB interactions; Beers 2023 Table 4 TMP-SMX hyperkalemia caution with ACEI/ARB in renal impairment.,https://bnf.nice.org.uk/interactions/losartan/
losartan,ibuprofen,moderate,"Reduced aldosterone activity, potassium retention, renal prostaglandin inhibition, or trimethoprim-like potassium sparing can precipitate hyperkalemia or acute kidney injury.",Avoid high-risk combinations in CKD or elderly patients; check creatinine and potassium within days if co-prescribing is necessary.,BNF Interactions A-Z: ACEI/ARB interactions; Beers 2023 Table 4 TMP-SMX hyperkalemia caution with ACEI/ARB in renal impairment.,https://bnf.nice.org.uk/interactions/losartan/
losartan,diclofenac,moderate,"Reduced aldosterone activity, potassium retention, renal prostaglandin inhibition, or trimethoprim-like potassium sparing can precipitate hyperkalemia or acute kidney injury.",Avoid high-risk combinations in CKD or elderly patients; check creatinine and potassium within days if co-prescribing is necessary.,BNF Interactions A-Z: ACEI/ARB interactions; Beers 2023 Table 4 TMP-SMX hyperkalemia caution with ACEI/ARB in renal impairment.,https://bnf.nice.org.uk/interactions/losartan/
losartan,naproxen,moderate,"Reduced aldosterone activity, potassium retention, renal prostaglandin inhibition, or trimethoprim-like potassium sparing can precipitate hyperkalemia or acute kidney injury.",Avoid high-risk combinations in CKD or elderly patients; check creatinine and potassium within days if co-prescribing is necessary.,BNF Interactions A-Z: ACEI/ARB interactions; Beers 2023 Table 4 TMP-SMX hyperkalemia caution with ACEI/ARB in renal impairment.,https://bnf.nice.org.uk/interactions/losartan/
telmisartan,spironolactone,major,"Reduced aldosterone activity, potassium retention, renal prostaglandin inhibition, or trimethoprim-like potassium sparing can precipitate hyperkalemia or acute kidney injury.",Avoid high-risk combinations in CKD or elderly patients; check creatinine and potassium within days if co-prescribing is necessary.,BNF Interactions A-Z: RAS inhibitor interactions; Beers 2023 Table 5 RAS inhibitor/potassium-sparing diuretic hyperkalemia warning.,https://bnf.nice.org.uk/interactions/telmisartan/
telmisartan,amiloride,major,"Reduced aldosterone activity, potassium retention, renal prostaglandin inhibition, or trimethoprim-like potassium sparing can precipitate hyperkalemia or acute kidney injury.",Avoid high-risk combinations in CKD or elderly patients; check creatinine and potassium within days if co-prescribing is necessary.,BNF Interactions A-Z: RAS inhibitor interactions; Beers 2023 Table 5 RAS inhibitor/potassium-sparing diuretic hyperkalemia warning.,https://bnf.nice.org.uk/interactions/telmisartan/
telmisartan,triamterene,major,"Reduced aldosterone activity, potassium retention, renal prostaglandin inhibition, or trimethoprim-like potassium sparing can precipitate hyperkalemia or acute kidney injury.",Avoid high-risk combinations in CKD or elderly patients; check creatinine and potassium within days if co-prescribing is necessary.,BNF Interactions A-Z: RAS inhibitor interactions; Beers 2023 Table 5 RAS inhibitor/potassium-sparing diuretic hyperkalemia warning.,https://bnf.nice.org.uk/interactions/telmisartan/
telmisartan,potassium chloride,major,"Reduced aldosterone activity, potassium retention, renal prostaglandin inhibition, or trimethoprim-like potassium sparing can precipitate hyperkalemia or acute kidney injury.",Avoid high-risk combinations in CKD or elderly patients; check creatinine and potassium within days if co-prescribing is necessary.,BNF Interactions A-Z: ACEI/ARB interactions; Beers 2023 Table 4 TMP-SMX hyperkalemia caution with ACEI/ARB in renal impairment.,https://bnf.nice.org.uk/interactions/telmisartan/
telmisartan,trimethoprim-sulfamethoxazole,major,"Reduced aldosterone activity, potassium retention, renal prostaglandin inhibition, or trimethoprim-like potassium sparing can precipitate hyperkalemia or acute kidney injury.",Avoid high-risk combinations in CKD or elderly patients; check creatinine and potassium within days if co-prescribing is necessary.,BNF Interactions A-Z: ACEI/ARB interactions; Beers 2023 Table 4 TMP-SMX hyperkalemia caution with ACEI/ARB in renal impairment.,https://bnf.nice.org.uk/interactions/telmisartan/
telmisartan,ibuprofen,moderate,"Reduced aldosterone activity, potassium retention, renal prostaglandin inhibition, or trimethoprim-like potassium sparing can precipitate hyperkalemia or acute kidney injury.",Avoid high-risk combinations in CKD or elderly patients; check creatinine and potassium within days if co-prescribing is necessary.,BNF Interactions A-Z: ACEI/ARB interactions; Beers 2023 Table 4 TMP-SMX hyperkalemia caution with ACEI/ARB in renal impairment.,https://bnf.nice.org.uk/interactions/telmisartan/
telmisartan,diclofenac,moderate,"Reduced aldosterone activity, potassium retention, renal prostaglandin inhibition, or trimethoprim-like potassium sparing can precipitate hyperkalemia or acute kidney injury.",Avoid high-risk combinations in CKD or elderly patients; check creatinine and potassium within days if co-prescribing is necessary.,BNF Interactions A-Z: ACEI/ARB interactions; Beers 2023 Table 4 TMP-SMX hyperkalemia caution with ACEI/ARB in renal impairment.,https://bnf.nice.org.uk/interactions/telmisartan/
telmisartan,naproxen,moderate,"Reduced aldosterone activity, potassium retention, renal prostaglandin inhibition, or trimethoprim-like potassium sparing can precipitate hyperkalemia or acute kidney injury.",Avoid high-risk combinations in CKD or elderly patients; check creatinine and potassium within days if co-prescribing is necessary.,BNF Interactions A-Z: ACEI/ARB interactions; Beers 2023 Table 4 TMP-SMX hyperkalemia caution with ACEI/ARB in renal impairment.,https://bnf.nice.org.uk/interactions/telmisartan/
lithium,enalapril,major,Reduced renal lithium clearance can rapidly increase lithium concentrations and neurotoxicity risk.,"Avoid where possible; if essential, check lithium level and renal function soon after starting, stopping, or changing dose.",BNF Interactions A-Z: lithium interactions; Beers 2023 Table 5 lithium with ACEIs/ARBs/ARNIs toxicity warning.,https://bnf.nice.org.uk/interactions/lithium/
lithium,ramipril,major,Reduced renal lithium clearance can rapidly increase lithium concentrations and neurotoxicity risk.,"Avoid where possible; if essential, check lithium level and renal function soon after starting, stopping, or changing dose.",BNF Interactions A-Z: lithium interactions; Beers 2023 Table 5 lithium with ACEIs/ARBs/ARNIs toxicity warning.,https://bnf.nice.org.uk/interactions/lithium/
lithium,losartan,major,Reduced renal lithium clearance can rapidly increase lithium concentrations and neurotoxicity risk.,"Avoid where possible; if essential, check lithium level and renal function soon after starting, stopping, or changing dose.",BNF Interactions A-Z: lithium interactions; Beers 2023 Table 5 lithium with ACEIs/ARBs/ARNIs toxicity warning.,https://bnf.nice.org.uk/interactions/lithium/
lithium,telmisartan,major,Reduced renal lithium clearance can rapidly increase lithium concentrations and neurotoxicity risk.,"Avoid where possible; if essential, check lithium level and renal function soon after starting, stopping, or changing dose.",BNF Interactions A-Z: lithium interactions; Beers 2023 Table 5 lithium with ACEIs/ARBs/ARNIs toxicity warning.,https://bnf.nice.org.uk/interactions/lithium/
lithium,hydrochlorothiazide,major,Reduced renal lithium clearance can rapidly increase lithium concentrations and neurotoxicity risk.,"Avoid where possible; if essential, check lithium level and renal function soon after starting, stopping, or changing dose.",BNF Interactions A-Z: lithium interactions; Beers 2023 Table 5 lithium with ACEIs/ARBs/ARNIs toxicity warning.,https://bnf.nice.org.uk/interactions/lithium/
lithium,furosemide,major,Reduced renal lithium clearance can rapidly increase lithium concentrations and neurotoxicity risk.,"Avoid where possible; if essential, check lithium level and renal function soon after starting, stopping, or changing dose.",BNF Interactions A-Z: lithium interactions; Beers 2023 Table 5 lithium with ACEIs/ARBs/ARNIs toxicity warning.,https://bnf.nice.org.uk/interactions/lithium/
lithium,ibuprofen,major,Reduced renal lithium clearance can rapidly increase lithium concentrations and neurotoxicity risk.,"Avoid where possible; if essential, check lithium level and renal function soon after starting, stopping, or changing dose.",BNF Interactions A-Z: lithium interactions; Beers 2023 Table 5 lithium with ACEIs/ARBs/ARNIs toxicity warning.,https://bnf.nice.org.uk/interactions/lithium/
lithium,diclofenac,major,Reduced renal lithium clearance can rapidly increase lithium concentrations and neurotoxicity risk.,"Avoid where possible; if essential, check lithium level and renal function soon after starting, stopping, or changing dose.",BNF Interactions A-Z: lithium interactions; Beers 2023 Table 5 lithium with ACEIs/ARBs/ARNIs toxicity warning.,https://bnf.nice.org.uk/interactions/lithium/
lithium,naproxen,major,Reduced renal lithium clearance can rapidly increase lithium concentrations and neurotoxicity risk.,"Avoid where possible; if essential, check lithium level and renal function soon after starting, stopping, or changing dose.",BNF Interactions A-Z: lithium interactions; Beers 2023 Table 5 lithium with ACEIs/ARBs/ARNIs toxicity warning.,https://bnf.nice.org.uk/interactions/lithium/
lithium,celecoxib,major,Reduced renal lithium clearance can rapidly increase lithium concentrations and neurotoxicity risk.,"Avoid where possible; if essential, check lithium level and renal function soon after starting, stopping, or changing dose.",BNF Interactions A-Z: lithium interactions; Beers 2023 Table 5 lithium with ACEIs/ARBs/ARNIs toxicity warning.,https://bnf.nice.org.uk/interactions/lithium/
simvastatin,clarithromycin,contraindicated,"CYP3A4, transporter inhibition, or fibrate co-toxicity increases statin exposure and risk of myopathy or rhabdomyolysis.",Avoid or temporarily stop the statin during interacting therapy; use a safer statin strategy and counsel about muscle symptoms.,BNF Interactions A-Z: statin interactions including simvastatin with macrolides/azoles and fibrates.,https://bnf.nice.org.uk/interactions/simvastatin/
simvastatin,erythromycin,contraindicated,"CYP3A4, transporter inhibition, or fibrate co-toxicity increases statin exposure and risk of myopathy or rhabdomyolysis.",Avoid or temporarily stop the statin during interacting therapy; use a safer statin strategy and counsel about muscle symptoms.,BNF Interactions A-Z: statin interactions including simvastatin with macrolides/azoles and fibrates.,https://bnf.nice.org.uk/interactions/simvastatin/
simvastatin,itraconazole,contraindicated,"CYP3A4, transporter inhibition, or fibrate co-toxicity increases statin exposure and risk of myopathy or rhabdomyolysis.",Avoid or temporarily stop the statin during interacting therapy; use a safer statin strategy and counsel about muscle symptoms.,BNF Interactions A-Z: statin interactions including simvastatin with macrolides/azoles and fibrates.,https://bnf.nice.org.uk/interactions/simvastatin/
simvastatin,ketoconazole,contraindicated,"CYP3A4, transporter inhibition, or fibrate co-toxicity increases statin exposure and risk of myopathy or rhabdomyolysis.",Avoid or temporarily stop the statin during interacting therapy; use a safer statin strategy and counsel about muscle symptoms.,BNF Interactions A-Z: statin interactions including simvastatin with macrolides/azoles and fibrates.,https://bnf.nice.org.uk/interactions/simvastatin/
simvastatin,fluconazole,major,"CYP3A4, transporter inhibition, or fibrate co-toxicity increases statin exposure and risk of myopathy or rhabdomyolysis.",Avoid or temporarily stop the statin during interacting therapy; use a safer statin strategy and counsel about muscle symptoms.,BNF Interactions A-Z: statin interactions including simvastatin with macrolides/azoles and fibrates.,https://bnf.nice.org.uk/interactions/simvastatin/
simvastatin,gemfibrozil,major,"CYP3A4, transporter inhibition, or fibrate co-toxicity increases statin exposure and risk of myopathy or rhabdomyolysis.",Avoid or temporarily stop the statin during interacting therapy; use a safer statin strategy and counsel about muscle symptoms.,BNF Interactions A-Z: statin interactions including simvastatin with macrolides/azoles and fibrates.,https://bnf.nice.org.uk/interactions/simvastatin/
simvastatin,cyclosporine,contraindicated,"CYP3A4, transporter inhibition, or fibrate co-toxicity increases statin exposure and risk of myopathy or rhabdomyolysis.",Avoid or temporarily stop the statin during interacting therapy; use a safer statin strategy and counsel about muscle symptoms.,BNF Interactions A-Z: statin interactions including simvastatin with macrolides/azoles and fibrates.,https://bnf.nice.org.uk/interactions/simvastatin/
simvastatin,ritonavir,contraindicated,"CYP3A4, transporter inhibition, or fibrate co-toxicity increases statin exposure and risk of myopathy or rhabdomyolysis.",Avoid or temporarily stop the statin during interacting therapy; use a safer statin strategy and counsel about muscle symptoms.,BNF Interactions A-Z: statin interactions including simvastatin with macrolides/azoles and fibrates.,https://bnf.nice.org.uk/interactions/simvastatin/
atorvastatin,clarithromycin,major,"CYP3A4, transporter inhibition, or fibrate co-toxicity increases statin exposure and risk of myopathy or rhabdomyolysis.",Avoid or temporarily stop the statin during interacting therapy; use a safer statin strategy and counsel about muscle symptoms.,BNF Interactions A-Z: statin interactions including simvastatin with macrolides/azoles and fibrates.,https://bnf.nice.org.uk/interactions/atorvastatin/
atorvastatin,erythromycin,major,"CYP3A4, transporter inhibition, or fibrate co-toxicity increases statin exposure and risk of myopathy or rhabdomyolysis.",Avoid or temporarily stop the statin during interacting therapy; use a safer statin strategy and counsel about muscle symptoms.,BNF Interactions A-Z: statin interactions including simvastatin with macrolides/azoles and fibrates.,https://bnf.nice.org.uk/interactions/atorvastatin/
atorvastatin,itraconazole,major,"CYP3A4, transporter inhibition, or fibrate co-toxicity increases statin exposure and risk of myopathy or rhabdomyolysis.",Avoid or temporarily stop the statin during interacting therapy; use a safer statin strategy and counsel about muscle symptoms.,BNF Interactions A-Z: statin interactions including simvastatin with macrolides/azoles and fibrates.,https://bnf.nice.org.uk/interactions/atorvastatin/
atorvastatin,ketoconazole,major,"CYP3A4, transporter inhibition, or fibrate co-toxicity increases statin exposure and risk of myopathy or rhabdomyolysis.",Avoid or temporarily stop the statin during interacting therapy; use a safer statin strategy and counsel about muscle symptoms.,BNF Interactions A-Z: statin interactions including simvastatin with macrolides/azoles and fibrates.,https://bnf.nice.org.uk/interactions/atorvastatin/
atorvastatin,fluconazole,major,"CYP3A4, transporter inhibition, or fibrate co-toxicity increases statin exposure and risk of myopathy or rhabdomyolysis.",Avoid or temporarily stop the statin during interacting therapy; use a safer statin strategy and counsel about muscle symptoms.,BNF Interactions A-Z: statin interactions including simvastatin with macrolides/azoles and fibrates.,https://bnf.nice.org.uk/interactions/atorvastatin/
atorvastatin,gemfibrozil,major,"CYP3A4, transporter inhibition, or fibrate co-toxicity increases statin exposure and risk of myopathy or rhabdomyolysis.",Avoid or temporarily stop the statin during interacting therapy; use a safer statin strategy and counsel about muscle symptoms.,BNF Interactions A-Z: statin interactions including simvastatin with macrolides/azoles and fibrates.,https://bnf.nice.org.uk/interactions/atorvastatin/
atorvastatin,cyclosporine,major,"CYP3A4, transporter inhibition, or fibrate co-toxicity increases statin exposure and risk of myopathy or rhabdomyolysis.",Avoid or temporarily stop the statin during interacting therapy; use a safer statin strategy and counsel about muscle symptoms.,BNF Interactions A-Z: statin interactions including simvastatin with macrolides/azoles and fibrates.,https://bnf.nice.org.uk/interactions/atorvastatin/
atorvastatin,ritonavir,major,"CYP3A4, transporter inhibition, or fibrate co-toxicity increases statin exposure and risk of myopathy or rhabdomyolysis.",Avoid or temporarily stop the statin during interacting therapy; use a safer statin strategy and counsel about muscle symptoms.,BNF Interactions A-Z: statin interactions including simvastatin with macrolides/azoles and fibrates.,https://bnf.nice.org.uk/interactions/atorvastatin/
rosuvastatin,clarithromycin,major,"CYP3A4, transporter inhibition, or fibrate co-toxicity increases statin exposure and risk of myopathy or rhabdomyolysis.",Avoid or temporarily stop the statin during interacting therapy; use a safer statin strategy and counsel about muscle symptoms.,BNF Interactions A-Z: statin interactions including simvastatin with macrolides/azoles and fibrates.,https://bnf.nice.org.uk/interactions/rosuvastatin/
rosuvastatin,erythromycin,major,"CYP3A4, transporter inhibition, or fibrate co-toxicity increases statin exposure and risk of myopathy or rhabdomyolysis.",Avoid or temporarily stop the statin during interacting therapy; use a safer statin strategy and counsel about muscle symptoms.,BNF Interactions A-Z: statin interactions including simvastatin with macrolides/azoles and fibrates.,https://bnf.nice.org.uk/interactions/rosuvastatin/
rosuvastatin,itraconazole,major,"CYP3A4, transporter inhibition, or fibrate co-toxicity increases statin exposure and risk of myopathy or rhabdomyolysis.",Avoid or temporarily stop the statin during interacting therapy; use a safer statin strategy and counsel about muscle symptoms.,BNF Interactions A-Z: statin interactions including simvastatin with macrolides/azoles and fibrates.,https://bnf.nice.org.uk/interactions/rosuvastatin/
rosuvastatin,ketoconazole,major,"CYP3A4, transporter inhibition, or fibrate co-toxicity increases statin exposure and risk of myopathy or rhabdomyolysis.",Avoid or temporarily stop the statin during interacting therapy; use a safer statin strategy and counsel about muscle symptoms.,BNF Interactions A-Z: statin interactions including simvastatin with macrolides/azoles and fibrates.,https://bnf.nice.org.uk/interactions/rosuvastatin/
rosuvastatin,fluconazole,major,"CYP3A4, transporter inhibition, or fibrate co-toxicity increases statin exposure and risk of myopathy or rhabdomyolysis.",Avoid or temporarily stop the statin during interacting therapy; use a safer statin strategy and counsel about muscle symptoms.,BNF Interactions A-Z: statin interactions including simvastatin with macrolides/azoles and fibrates.,https://bnf.nice.org.uk/interactions/rosuvastatin/
rosuvastatin,gemfibrozil,major,"CYP3A4, transporter inhibition, or fibrate co-toxicity increases statin exposure and risk of myopathy or rhabdomyolysis.",Avoid or temporarily stop the statin during interacting therapy; use a safer statin strategy and counsel about muscle symptoms.,BNF Interactions A-Z: statin interactions including simvastatin with macrolides/azoles and fibrates.,https://bnf.nice.org.uk/interactions/rosuvastatin/
rosuvastatin,cyclosporine,major,"CYP3A4, transporter inhibition, or fibrate co-toxicity increases statin exposure and risk of myopathy or rhabdomyolysis.",Avoid or temporarily stop the statin during interacting therapy; use a safer statin strategy and counsel about muscle symptoms.,BNF Interactions A-Z: statin interactions including simvastatin with macrolides/azoles and fibrates.,https://bnf.nice.org.uk/interactions/rosuvastatin/
rosuvastatin,ritonavir,major,"CYP3A4, transporter inhibition, or fibrate co-toxicity increases statin exposure and risk of myopathy or rhabdomyolysis.",Avoid or temporarily stop the statin during interacting therapy; use a safer statin strategy and counsel about muscle symptoms.,BNF Interactions A-Z: statin interactions including simvastatin with macrolides/azoles and fibrates.,https://bnf.nice.org.uk/interactions/rosuvastatin/
amiodarone,azithromycin,major,Additive QT prolongation and electrolyte-sensitive repolarization delay increase torsades de pointes risk.,"Avoid if possible; if unavoidable, correct electrolytes and obtain ECG monitoring in high-risk patients.",BNF Interactions A-Z: QT-prolonging drug interactions; Beers 2023 CNS/cardiac adverse-effect principles in older adults.,https://bnf.nice.org.uk/interactions/amiodarone/
amiodarone,clarithromycin,major,Additive QT prolongation and electrolyte-sensitive repolarization delay increase torsades de pointes risk.,"Avoid if possible; if unavoidable, correct electrolytes and obtain ECG monitoring in high-risk patients.",BNF Interactions A-Z: QT-prolonging drug interactions; Beers 2023 CNS/cardiac adverse-effect principles in older adults.,https://bnf.nice.org.uk/interactions/amiodarone/
amiodarone,erythromycin,major,Additive QT prolongation and electrolyte-sensitive repolarization delay increase torsades de pointes risk.,"Avoid if possible; if unavoidable, correct electrolytes and obtain ECG monitoring in high-risk patients.",BNF Interactions A-Z: QT-prolonging drug interactions; Beers 2023 CNS/cardiac adverse-effect principles in older adults.,https://bnf.nice.org.uk/interactions/amiodarone/
amiodarone,ciprofloxacin,major,Additive QT prolongation and electrolyte-sensitive repolarization delay increase torsades de pointes risk.,"Avoid if possible; if unavoidable, correct electrolytes and obtain ECG monitoring in high-risk patients.",BNF Interactions A-Z: QT-prolonging drug interactions; Beers 2023 CNS/cardiac adverse-effect principles in older adults.,https://bnf.nice.org.uk/interactions/amiodarone/
amiodarone,levofloxacin,major,Additive QT prolongation and electrolyte-sensitive repolarization delay increase torsades de pointes risk.,"Avoid if possible; if unavoidable, correct electrolytes and obtain ECG monitoring in high-risk patients.",BNF Interactions A-Z: QT-prolonging drug interactions; Beers 2023 CNS/cardiac adverse-effect principles in older adults.,https://bnf.nice.org.uk/interactions/amiodarone/
sotalol,azithromycin,major,Additive QT prolongation and electrolyte-sensitive repolarization delay increase torsades de pointes risk.,"Avoid if possible; if unavoidable, correct electrolytes and obtain ECG monitoring in high-risk patients.",BNF Interactions A-Z: QT-prolonging drug interactions; Beers 2023 CNS/cardiac adverse-effect principles in older adults.,https://bnf.nice.org.uk/interactions/sotalol/
sotalol,clarithromycin,major,Additive QT prolongation and electrolyte-sensitive repolarization delay increase torsades de pointes risk.,"Avoid if possible; if unavoidable, correct electrolytes and obtain ECG monitoring in high-risk patients.",BNF Interactions A-Z: QT-prolonging drug interactions; Beers 2023 CNS/cardiac adverse-effect principles in older adults.,https://bnf.nice.org.uk/interactions/sotalol/
